e,name,label,type,x,y,zmin,zmax,zoom,code,link,source,display,admin,country,muni,street,nr,area,pop,
175,Lith,LITH,municipality,5.44393315,51.79257779,7,10,15,NL.NB.LI,lith,gadm,shape,3,nl,,,,8975,,
176,Loon op Zand,LOON OP ZAND,municipality,5.052075886,51.64144533,7,10,15,NL.NB.LZ,loon-op-zand,gadm,shape,3,nl,,,,8166,,
177,Maasdonk,MAASDONK,municipality,5.45774709,51.73080328,7,10,15,NL.NB.MA,maasdonk,gadm,shape,3,nl,,,,6002,,
178,Mierlo,MIERLO,municipality,5.617644653,51.44048812,7,10,15,NL.NB.MI,mierlo,gadm,shape,3,nl,,,,2917,,
179,Mill en Sint Hubert,MILL EN SINT HUBERT,municipality,5.775558866,51.68687825,7,10,15,NL.NB.MS,mill-en-sint-hubert,gadm,shape,3,nl,,,,8551,,
180,Moerdijk,MOERDIJK,municipality,4.544634475,51.65864272,6,10,15,NL.NB.MO,moerdijk,gadm,shape,3,nl,,,,25947,,
181,Nuenen c.a.,NUENEN C.A.,municipality,5.556312001,51.47968864,7,10,15,NL.NB.NG,nuenen-c.a.,gadm,shape,3,nl,,,,5469,,
182,Oirschot,OIRSCHOT,municipality,5.295742574,51.49378733,7,10,15,NL.NB.OR,oirschot,gadm,shape,3,nl,,,,16531,,
183,Oisterwijk,OISTERWIJK,municipality,5.202833892,51.55309212,7,10,15,NL.NB.OW,oisterwijk,gadm,shape,3,nl,,,,10539,,
184,Oosterhout,OOSTERHOUT,municipality,4.868155363,51.63851483,7,10,15,NL.NB.OO,oosterhout,gadm,shape,3,nl,,,,11826,,
185,Oss,OSS,municipality,5.586373395,51.78051912,7,10,15,NL.NB.OS,oss,gadm,shape,3,nl,,,,16912,,
186,Flevoland,FLEVOLAND,province,5.601028581,52.52705193,4,8,9,NL.FL,flevoland,gadm,shape,2,nl,,,,240938,,
187,Reusel-De Mierden,REUSEL-DE MIERDEN,municipality,5.15076803,51.37999505,7,10,15,NL.NB.RD,reusel-de-mierden,gadm,shape,3,nl,,,,13115,,
